,,Check List,,Pengaturan,Start,End
,Carbapenems,TRUE,Carbapenems,,,
,,TRUE,loracarbef,,,
,,TRUE,Oxacilin,,,
,,TRUE,Methicilin,,,
,,TRUE,Flucloxacilin,,,
,,TRUE,Dicloxacilin,,,
,,TRUE,cloxacilin,,,
,,TRUE,Piperacilin,,,
,,TRUE,Piperacilin/Tazobactam,,,
,,TRUE,Mezlocilin,,,
,,TRUE,Azlocilin,,,
,,TRUE,Ticarcilin/clavunalic acid,,,
,,TRUE,Ticarcilin,,,
,,TRUE,Carbenicilin,,,
,,TRUE,Nafcilin,,,
,,TRUE,Benzylpenicilin,,,
,,TRUE,Penicillin G,,,
,,TRUE,Ampicilin-sulbactam,,,
,,TRUE,Ampicillin,,,
,,TRUE,Amoxicillin,,,
,,TRUE,Amox-Clav,,,
,,TRUE,Doripenem,,,
,,TRUE,Ertapenem,,,
,,TRUE,Imipenem,,,
,,TRUE,Faropenem,,,
,,TRUE,Meropenem/vaborbactam,,,
,,TRUE,Meropenem,,,
,Aztreonam,TRUE,Aztreonam,,,
,Fluoroquinolone,TRUE,Fluoroquinolone,,,
,,TRUE,Ciprofloxacin,,,
,,TRUE,Ofloxacin,,,
,,TRUE,Levofloxacin,,,
,,TRUE,Moxifloxacin,,,
,Parenteral Cephalosporins,TRUE,Parenteral Cephalosporins,,,
,,TRUE,Ceftaroline,,,
,,TRUE,cefalexin,,,
,,TRUE,cefquinome,,,
,,TRUE,cefpirome,,,
,,TRUE,ceftizoxime,,,
,,TRUE,ceftiofur,,,
,,TRUE,cefovecin,,,
,,TRUE,cefmenoxim,,,
,,TRUE,ceftibuten,,,
,,TRUE,cefpodoxime,,,
,,TRUE,cefixime,,,
,,TRUE,cefditoren,,,
,,TRUE,cefdinir,,,
,,TRUE,cefotetan,,,
,,TRUE,cefmetazole,,,
,,TRUE,cefuroxime,,,
,,TRUE,cefamandole,,,
,,TRUE,cephapirin,,,
,,TRUE,cefradine,,,
,,TRUE,cefprozil,,,
,,TRUE,cefonicid,,,
,,TRUE,cefetamet,,,
,,TRUE,Cefalotin,,,
,,TRUE,Cefadroxil,,,
,,TRUE,Cefaclor,,,
,,TRUE,Latamoxef,,,
,,TRUE,Flomoxef,,,
,,TRUE,Cefazolin,,,
,,TRUE,Cefoxitin,,,
,,TRUE,Cefotaxime,,,
,,TRUE,Ceftriaxone,,,
,,TRUE,Ceftazidime/Avibactam,,,
,,TRUE,Ceftazidime,,,
,,TRUE,Cefepime,,,
,,TRUE,Ceftobiprole,,,
,,TRUE,Cefoperazone-Sulbactam,,,
,,TRUE,Cefoperazone,,,
,Aminoglyco,TRUE,Aminoglyco,,,
,,TRUE,Streptomycin High level,,,
,,TRUE,Gentamicin high level,,,
,,TRUE,Gentamicin,,,
,,TRUE,Tobramycin,,,
,,TRUE,Amikacin,,,
,Lincosamide,TRUE,Clindamycin,,,
,Macrolides,TRUE,Macrolides,,,
,,TRUE,clarithromicin,,,
,,TRUE,Dirithromycin,,,
,,TRUE,Erythromycin,,,
,,TRUE,Azithromycin,,,
,Tetracyclines,TRUE,Tetracyclines,,,
,,TRUE,Doxycycline,,,
,,TRUE,Minocycline,,,
,,TRUE,Tetracycline,,,
,,TRUE,Tigecycline,,,
,Glycopeptida,TRUE,Teicoplanin,,,
,,TRUE,Vancomycin,,,
,Ox-lid,TRUE,Linezolid,,,
,,TRUE,Trimethroprim/Sulfamethoxazole,,,
,,TRUE,Tedizolid,,,
,Other,TRUE,Other,,,
,,TRUE,Chloramphenicol,,,
,,TRUE,Nitrofurantoin,,,
,,TRUE,Rifampin,,,
,,TRUE,Quinu-Dalfo,,,
